Month,btc,eth,usdt
2020-08,0.0,299198.3219261663,0.0
2020-09,0.0,7114097.719712677,0.0
2020-10,0.0,4911690.653923086,0.0
2020-11,0.0,11259801.262926849,0.0
2020-12,0.0,12687626.234301453,0.0
2021-01,0.0,74775149.36387227,0.0
2021-02,0.0,23152718.261106007,0.0
2021-08,7402092.879110652,0.0,0.0
2021-09,19131393.803667013,0.0,0.0
2021-10,37044547.698024444,0.0,0.0
2021-11,16673219.715346701,0.0,0.0
2021-12,6448908.614846078,0.0,0.0
2022-01,154816747.60592863,124622245.67865738,360335273.4502167
2022-02,230804508.21791,204796143.336933,566479771.0954795
2022-03,356940038.86039287,248073489.7965986,631879713.9702264
2022-04,281818134.1892284,193526856.2820165,588710382.0326741
2022-05,425472983.58973014,183366817.3732022,692206921.9290823
2022-06,349196266.0671088,209434069.55385008,519108245.2792868
2022-07,232707278.75911158,184553257.1929052,418935083.9576269
2022-08,402358804.32941794,359497517.3918568,554402601.3520398
2022-09,774068869.4965659,666324799.0288618,727653282.5605435
2022-10,676253627.3836873,200591907.3145009,722774408.0164747
2022-11,812164312.7081454,191336347.40274695,923603981.5381689
2022-12,702192886.8147483,90096699.31043434,565057589.4043866
2023-01,1244251011.3171153,162226940.23736075,514315946.1749302
2023-02,1106312748.6026292,158252919.88788706,464089308.50958824
2023-03,1062011732.2661368,248230116.03595683,631684850.3738056
2023-04,394596310.8850622,165661525.5906035,551691858.3953345
2023-05,358728710.8575202,137338874.26485053,420048227.821479
2023-06,120705791.81982379,23010071.303004567,94406759.49563624
2023-07,93117468.18589184,18897870.25107759,96816037.97789212
2023-08,88024628.53252158,23659983.783446033,120792730.91275981
2023-09,54712585.90455833,11703947.56364015,66929818.720059074
2023-10,46660256.625350825,7671523.266243355,55798164.540210694
2023-11,25432869.346865337,6268803.420123495,66490068.11466358
2023-12,68361446.09472235,6966348.483349779,63000771.86923901
2024-01,9595914.2799749,1001337.5621314045,39763648.0289189
2024-02,6186015.940758762,1066751.5248656769,47447444.81246905
2024-03,1309137878.996044,645676032.7297331,5079466647.932737
2024-04,1503706091.6926582,617881606.1315432,5044466306.5484705
2024-05,901496915.1951629,514080187.5645858,4076450486.264583
2024-06,777915977.9027565,370805243.89548504,3983298434.141223
2024-07,973952014.4632449,433415111.4426776,4040323492.9975333
2024-08,1217537392.6235754,524389287.4184382,4762311653.209366
2024-09,860602201.7958158,331781569.82580143,4124345050.0507493
2024-10,259035631022.73267,364964443.41339165,5321717014.419397
2024-11,476934046792.79834,973508804.8822461,8437063116.099371
2024-12,549642917454.28516,1090815134.84962,8885836595.023144
2025-01,158743901890.53055,824787927.178168,6103435389.915322
2025-02,274658911462.26486,852180268.2420245,5136129458.60582
2025-03,222960529970.7805,805349059.4074037,4744385623.346304
2025-04,355592924162.3467,1041696223.4065169,3623237776.4953723
2025-05,544000715043.7672,2134503448.7257419,3767838153.176501
2025-06,228844084285.83258,1651769121.785451,3518746201.752199
2025-07,278804228490.0261,1393163680.7164793,2809938437.3368564
