timestamp,crypto_currency,fiat_currency,volumeUSD
2022-01-31,BTC,NGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGN,4662272.0913523985
2022-02-28,BTC,NGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGN,3261199.9383403384
2022-03-31,BTC,NGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGN,2464292.1587838475
2022-04-30,BTC,NGN,10792.978476131137
2022-07-31,OTHERS,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUB,10801747.385859227
2022-08-31,OTHERS,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUB,10631060.557643497
2022-09-30,BTC,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUB,9961936.79661872
2022-09-30,OTHERS,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUB,6913692.331088405
2022-09-30,USDT,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUB,34331731.918480515
2022-10-31,BTC,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUB,16273996.845334513
2022-10-31,OTHERS,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUB,6075548.6812393
2022-10-31,USDT,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBNGNNGNNGNNGNNGNNGNNGN,69083144.44459733
2022-11-30,BTC,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUB,33314685.29977185
2022-11-30,OTHERS,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUB,10882282.186651865
2022-11-30,USDT,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGN,86775947.52959232
2022-12-31,BTC,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUB,28243736.9870474
2022-12-31,OTHERS,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUB,10628778.340660868
2022-12-31,USDT,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGN,87107358.21491908
2023-01-31,BTC,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUB,18604200.014823277
2023-01-31,OTHERS,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUB,6110134.682582121
2023-01-31,USDT,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGN,47196042.457458235
2023-02-28,BTC,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUB,20332636.94719751
2023-02-28,OTHERS,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUB,5201318.606389987
2023-02-28,USDT,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGN,40736710.76690721
2023-03-31,BTC,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUB,23445942.93844583
2023-03-31,OTHERS,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUB,5916937.433986803
2023-03-31,USDT,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGN,41975398.60484113
2023-04-30,BTC,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUB,18839337.434339814
2023-04-30,OTHERS,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUB,5526046.725744614
2023-04-30,USDT,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGN,50751054.004793175
2023-05-31,BTC,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUB,17531026.20463427
2023-05-31,OTHERS,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUB,3743337.7029530415
2023-05-31,USDT,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGN,52548712.91011031
2023-06-30,BTC,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGN,26419370.52440472
2023-06-30,OTHERS,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUB,4511054.03480844
2023-06-30,USDT,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGN,63375449.90262197
2023-07-31,BTC,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGN,23869979.13925573
2023-07-31,OTHERS,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUB,3259512.4507038575
2023-07-31,USDT,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGN,67602167.50921082
2023-08-31,BTC,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGN,27835432.026075866
2023-08-31,OTHERS,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUB,6484985.2033976335
2023-08-31,USDT,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGN,87352294.70245714
2023-09-30,BTC,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGN,21404112.853224244
2023-09-30,OTHERS,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUB,5706461.667638248
2023-09-30,USDT,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGN,45843852.221552104
2023-10-31,BTC,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGN,27273015.316526145
2023-10-31,OTHERS,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAH,4743497.44509511
2023-10-31,USDT,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGN,49388369.994517386
2023-11-30,BTC,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGN,18279491.347990375
2023-11-30,OTHERS,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAH,3271624.194896136
2023-11-30,USDT,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNRONRONRONRONRONRONRONRONRONRONRONRONRON,58639470.31955435
2023-12-31,BTC,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGN,8739816.419857977
2023-12-31,OTHERS,UAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAH,1082441.0616129562
2023-12-31,USDT,RUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNRONRONRONRONRONRONRONRONRONRONRONRONRONRONRONRONRONRONRONRONRONRONRONRONRONRONRONRONRONRONRON,49124216.00341493
2024-01-31,BTC,TRYTRYTRYTRYRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBBRLBRLBRLBRLZARZARZARZARNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNUAHUAHUAHUAHPLNPLNPLNPLNRONRONRONRONARSARSARSARS,57800093.314025484
2024-01-31,OTHERS,TRYTRYTRYTRYBRLBRLBRLBRLZARZARZARZARUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHPLNPLNPLNPLN,15664634.762181276
2024-01-31,USDT,TRYTRYTRYTRYRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBRUBBRLBRLBRLBRLZARZARZARZARNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNNGNUAHUAHUAHUAHPLNPLNPLNPLNRONRONRONRONRONRONRONRONRONRONRONRONRONRONRONRONRONRONRONRONRONRONRONRONRONRONRONRONRONRONRONARSARSARSARS,455582957.13095826
